,Country,Job Title,Gender,Quantity,Percentage
63,Germany,database specialist,male,9,0.09%
64,Italy,database management system specialist dbms specialist,male,9,0.09%
65,Germany,database modeler,male,9,0.09%
66,Italy,data processing auditor,male,9,0.09%
67,Spain,database management system specialist dbms specialist,male,9,0.09%
68,France,database consultant,female,9,0.09%
69,Great Britain,database tester,female,9,0.09%
70,Lithuania,Unemployed,female,9,0.09%
71,Latvia,Unemployed,female,9,0.09%
72,Germany,database manager,male,9,0.09%
73,Great Britain,data systems manager,male,9,0.09%
74,France,geographic information systems data administrator gis data administrator,male,9,0.09%
75,Germany,data administrator,male,9,0.09%
76,Italy,data modeling specialist,male,9,0.09%
77,Germany,database development and administration project manager,male,9,0.09%
78,France,database software technician,male,9,0.09%
79,Germany,data communications software consultant,male,8,0.08%
80,Latvia,Unemployed,male,8,0.08%
81,Italy,database architect,male,8,0.08%
82,Germany,electronic data processing auditor edp auditor,male,8,0.08%
83,Germany,data miner,male,8,0.08%
84,Spain,database coordinator,female,8,0.08%
85,Germany,electronic data interchange system developer edi system developer,female,8,0.08%
86,Germany,automatic data processing planner adp planner,male,8,0.08%
87,Germany,data warehouse architect,male,8,0.08%
88,Italy,geographic information systems database administrator gis database administrator,male,8,0.08%
89,Italy,automatic data processing customer liaison adp customer liaison,male,8,0.08%
90,Spain,automatic data processing planner adp planner,male,8,0.08%
91,Poland,data communications analyst,male,8,0.08%
92,Great Britain,data processing systems analyst,male,8,0.08%
93,Germany,database management system specialist dbms specialist,female,8,0.08%
94,Italy,data officer,female,8,0.08%
95,Great Britain,database administration associate,male,8,0.08%
96,France,data miner,male,8,0.08%
97,Great Britain,database architect,male,8,0.08%
98,Italy,data coordinator,female,8,0.08%
99,Germany,data officer,male,8,0.08%
100,France,data officer,male,8,0.08%
101,Great Britain,computer or data processing systems consultant,male,8,0.08%
102,Great Britain,database coordinator,male,8,0.08%
103,Poland,data security analyst,male,8,0.08%
104,Germany,data processing manager,male,8,0.08%
105,Germany,database administration manager,male,8,0.08%
106,Spain,data processing systems analyst,male,8,0.08%
107,France,data architect,male,8,0.08%
108,Great Britain,database engineer,male,8,0.08%
109,Italy,database tester,male,7,0.07%
110,Spain,database manager,male,7,0.07%
111,Great Britain,data scientist,male,7,0.07%
112,Spain,data coordinator,male,7,0.07%
113,Italy,database software technician,male,7,0.07%
114,Great Britain,data security analyst,male,7,0.07%
115,Great Britain,oracle database administrator oracle dba,male,7,0.07%
116,Germany,database software technician,male,7,0.07%
117,Germany,computer or data processing systems consultant,male,7,0.07%
118,Germany,data modeling specialist,male,7,0.07%
119,Great Britain,data warehouse architect,male,7,0.07%
120,France,data base design analyst,male,7,0.07%
121,Spain,database development and administration project manager,male,7,0.07%
122,Great Britain,geographic information systems data specialist gis data specialist,female,7,0.07%
123,Germany,data security analyst,male,7,0.07%
124,Spain,data systems manager,male,7,0.07%
125,Great Britain,database consultant,male,7,0.07%
126,Italy,internet database specialist,male,7,0.07%
127,Italy,data processing systems analyst,male,7,0.07%
128,Germany,data communications analyst,female,7,0.07%
129,Germany,data coordinator,male,7,0.07%
130,Spain,database administration manager,male,7,0.07%
131,Germany,automatic data processing planner,male,7,0.07%
132,Italy,database development and administration project manager,female,7,0.07%
133,Great Britain,data administrator,male,7,0.07%
134,Italy,database architect,female,7,0.07%
135,France,data coordinator,male,7,0.07%
136,Germany,database consultant,female,7,0.07%
137,France,data security administrator,male,7,0.07%
138,Poland,geographic information systems data specialist gis data specialist,male,7,0.07%
139,France,data processing systems analyst,male,7,0.07%
140,Germany,database coordinator,male,7,0.07%
141,France,data processing manager,male,7,0.07%
142,Poland,database security administrator,male,7,0.07%
143,Italy,data administrator,female,7,0.07%
144,Poland,automatic data processing systems security specialist adp systems security,male,7,0.07%
145,Poland,database development and administration project manager,male,7,0.07%
146,France,data officer,female,7,0.07%
147,Italy,data scientist,male,7,0.07%
148,Great Britain,automatic data processing customer liaison adp customer liaison,male,7,0.07%
149,Italy,data management information technology specialist,male,7,0.07%
150,France,automatic data processing planner,male,7,0.07%
151,Germany,database management system specialist dbms specialist,male,7,0.07%
152,Italy,data officer,male,7,0.07%
153,Germany,database marketing analyst,male,7,0.07%
154,Italy,data processing systems project planner,male,7,0.07%
155,Germany,internet database specialist,male,7,0.07%
156,France,database development and administration project manager,male,7,0.07%
157,Italy,sql database administrator,male,7,0.07%
158,France,database engineer,male,7,0.07%
159,France,oracle database administrator oracle dba,male,7,0.07%
160,Italy,database design analyst,male,7,0.07%
161,France,database security administrator,male,7,0.07%
162,France,database tester,male,7,0.07%
163,Germany,head of information systems and data processing,male,7,0.07%
164,Great Britain,data coordinator,male,7,0.07%
165,Germany,data security administrator,male,7,0.07%
166,Great Britain,data communications software consultant,male,7,0.07%
167,France,database manager,female,7,0.07%
168,France,data communications analyst,male,7,0.07%
169,Poland,data coordinator,female,6,0.06%
170,Great Britain,database design analyst,male,6,0.06%
171,Germany,data scientist,male,6,0.06%
172,Italy,data architect,male,6,0.06%
173,Great Britain,database designer,male,6,0.06%
174,Great Britain,database designer,female,6,0.06%
175,Spain,automatic data processing customer liaison adp customer liaison,male,6,0.06%
176,France,database specialist,male,6,0.06%
177,Poland,database design analyst,female,6,0.06%
178,France,head of information systems and data processing,male,6,0.06%
179,Germany,database security expert,male,6,0.06%
180,Italy,database designer,male,6,0.06%
181,Great Britain,database manager,male,6,0.06%
182,France,data communications software consultant,male,6,0.06%
183,Spain,data communications software consultant,female,6,0.06%
184,France,head of information systems and data processing,female,6,0.06%
185,Great Britain,database manager,female,6,0.06%
186,Germany,data base design analyst,male,6,0.06%
187,Italy,data administrator,male,6,0.06%
188,Italy,database security administrator,female,6,0.06%
189,Italy,electronic data interchange system developer edi system developer,male,6,0.06%
190,France,database designer,male,6,0.06%
191,Germany,data management information technology specialist,male,6,0.06%
192,France,database architect,female,6,0.06%
193,France,database administration associate,male,6,0.06%
194,Germany,databases computer consultant,male,6,0.06%
195,Poland,data architect,male,6,0.06%
196,Germany,data communications analyst,male,6,0.06%
197,Poland,sql database administrator,male,6,0.06%
198,Italy,automatic data processing planner adp planner,male,6,0.06%
199,Great Britain,head of information systems and data processing,male,6,0.06%
200,Italy,director of data operations,male,6,0.06%
201,Great Britain,head of information systems and data processing,female,6,0.06%
202,France,database marketing analyst,female,6,0.06%
203,France,database marketing analyst,male,6,0.06%
204,Italy,database consultant,female,6,0.06%
205,Poland,director of data operations,female,6,0.06%
206,Germany,data processing consultant,male,6,0.06%
207,Romania,database consultant,male,6,0.06%
208,Great Britain,database security expert,male,6,0.06%
209,Slovenia,Unemployed,female,6,0.06%
210,Slovenia,Unemployed,male,6,0.06%
211,Germany,engineer system electronic data processing engineer system edp,female,6,0.06%
212,Germany,geographic information systems database administrator gis database administrator,male,6,0.06%
213,Spain,electronic data interchange system developer edi system developer,male,6,0.06%
214,Spain,data security analyst,female,6,0.06%
215,France,automatic data processing planner,female,6,0.06%
216,Spain,database development and administration project manager,female,6,0.06%
217,Great Britain,data administrator,female,6,0.06%
218,Spain,database engineer,female,6,0.06%
219,Spain,database software technician,male,6,0.06%
220,Spain,geographic information systems data manager gis data manager,male,6,0.06%
221,Germany,database consultant,male,6,0.06%
222,Spain,database architect,male,6,0.06%
223,Germany,geographic information systems data manager gis data manager,male,6,0.06%
224,Germany,database tester,male,6,0.06%
225,Great Britain,data processing auditor,male,6,0.06%
226,Spain,data management associate,male,6,0.06%
227,Spain,geographic information systems database administrator gis database administrator,male,6,0.06%
228,Germany,database administration manager,female,6,0.06%
229,Germany,data systems manager,male,6,0.06%
230,Spain,data security administrator,female,6,0.06%
231,Poland,database management system specialist dbms specialist,male,5,0.05%
232,Spain,database designer,male,5,0.05%
233,Germany,database administration associate,male,5,0.05%
234,Italy,data base design analyst,male,5,0.05%
235,Italy,data architect,female,5,0.05%
236,Italy,database security expert,male,5,0.05%
237,Germany,automatic data processing systems security specialist adp systems security,male,5,0.05%
238,Germany,automatic data processing planner adp planner,female,5,0.05%
239,Germany,computer or data processing systems consultant,female,5,0.05%
240,Poland,database development and administration project manager,female,5,0.05%
241,Romania,data processing systems project planner,male,5,0.05%
242,Spain,database engineer,male,5,0.05%
243,France,geographic information systems data manager gis data manager,male,5,0.05%
244,Netherlands,data processing systems analyst,male,5,0.05%
245,Romania,database specialist,male,5,0.05%
246,Great Britain,geographic information systems database administrator gis database administrator,male,5,0.05%
247,Great Britain,internet database specialist,male,5,0.05%
248,Italy,geographic information systems data specialist gis data specialist,male,5,0.05%
249,Spain,data scientist,male,5,0.05%
250,Italy,data systems manager,male,5,0.05%
251,Spain,data security administrator,male,5,0.05%
252,Germany,data modeling specialist,female,5,0.05%
253,Great Britain,sql database administrator,male,5,0.05%
254,Poland,data security administrator,male,5,0.05%
255,Germany,data management information technology specialist,female,5,0.05%
256,Germany,data management associate,male,5,0.05%
257,Italy,engineer system electronic data processing engineer system edp,male,5,0.05%
258,Spain,data warehouse architect,female,5,0.05%
259,Italy,data communications analyst,male,5,0.05%
260,Poland,database administration manager,male,5,0.05%
261,France,data processing consultant,male,5,0.05%
262,Great Britain,computer or data processing systems consultant,female,5,0.05%
263,Romania,data management associate,male,5,0.05%
264,France,automatic data processing planner adp planner,male,5,0.05%
265,Italy,database security administrator,male,5,0.05%
266,Spain,director of data operations,female,5,0.05%
267,Italy,database consultant,male,5,0.05%
268,Spain,geographic information systems data administrator gis data administrator,male,5,0.05%
269,Poland,oracle database administrator oracle dba,male,5,0.05%
270,Germany,databases software consultant,male,5,0.05%
271,Germany,director of data operations,female,5,0.05%
272,France,data coordinator,female,5,0.05%
273,France,data security administrator,female,5,0.05%
274,Great Britain,data architect,female,5,0.05%
275,Great Britain,data architect,male,5,0.05%
276,France,database consultant,male,5,0.05%
277,France,database architect,male,5,0.05%
278,Spain,head of information systems and data processing,male,5,0.05%
279,Poland,automatic data processing customer liaison adp customer liaison,female,5,0.05%
280,Portugal,data administrator,male,5,0.05%
281,Great Britain,data base design analyst,male,5,0.05%
282,France,data warehouse architect,male,5,0.05%
283,Portugal,automatic data processing systems security specialist adp systems security,female,5,0.05%
284,Poland,geographic information systems data specialist gis data specialist,female,5,0.05%
285,France,data processing systems project planner,male,5,0.05%
286,Germany,engineer system electronic data processing engineer system edp,male,5,0.05%
287,France,director of data operations,female,5,0.05%
288,Italy,database modeler,male,5,0.05%
289,Italy,database marketing analyst,male,5,0.05%
290,Great Britain,geographic information systems data specialist gis data specialist,male,5,0.05%
291,France,oracle database administrator oracle dba,female,5,0.05%
292,Poland,database security expert,female,5,0.05%
293,Spain,database security expert,male,5,0.05%
294,France,internet database specialist,male,5,0.05%
295,France,internet database specialist,female,5,0.05%
296,Spain,sql database administrator,male,5,0.05%
297,Romania,automatic data processing customer liaison adp customer liaison,male,5,0.05%
298,Germany,electronic data interchange system developer edi system developer,male,5,0.05%
299,France,geographic information systems data specialist gis data specialist,male,5,0.05%
300,Germany,data security administrator,female,5,0.05%
301,Italy,database engineer,female,5,0.05%
302,Poland,director of data operations,male,5,0.05%
303,France,electronic data processing auditor edp auditor,male,5,0.05%
304,France,electronic data interchange system developer edi system developer,male,5,0.05%
305,Great Britain,data modeling specialist,female,5,0.05%
306,Germany,database architect,male,5,0.05%
307,Great Britain,database specialist,male,5,0.05%
308,Great Britain,database modeler,male,5,0.05%
309,Great Britain,electronic data interchange system developer edi system developer,male,5,0.05%
310,Great Britain,automatic data processing planner,male,5,0.05%
311,Spain,data architect,male,5,0.05%
312,Great Britain,database modeler,female,5,0.05%
313,Germany,geographic information systems data administrator gis data administrator,male,5,0.05%
314,Poland,data officer,male,5,0.05%
315,Great Britain,data processing manager,female,5,0.05%
316,Spain,data processing manager,male,5,0.05%
317,Spain,automatic data processing customer liaison adp customer liaison,female,5,0.05%
318,Great Britain,database administration associate,female,5,0.05%
319,France,data architect,female,5,0.05%
320,Great Britain,database tester,male,5,0.05%
321,Spain,computer or data processing systems consultant,male,5,0.05%
322,Spain,automatic data processing planner,female,5,0.05%
323,Great Britain,data officer,male,5,0.05%
324,Germany,geographic information systems database administrator gis database administrator,female,5,0.05%
325,Germany,oracle database administrator oracle dba,female,5,0.05%
326,Spain,data modeling specialist,female,5,0.05%
327,Germany,geographic information systems data administrator gis data administrator,female,5,0.05%
328,Great Britain,data modeling specialist,male,5,0.05%
329,Great Britain,engineer system electronic data processing engineer system edp,female,5,0.05%
330,Germany,head of information systems and data processing,female,5,0.05%
331,Italy,data scientist,female,5,0.05%
332,Poland,data miner,male,5,0.05%
333,Poland,data administrator,male,5,0.05%
334,Poland,data communications analyst,female,5,0.05%
335,Great Britain,data warehouse architect,female,5,0.05%
336,Poland,data management associate,male,4,0.04%
337,Germany,sql database administrator,male,4,0.04%
338,Italy,computer or data processing systems consultant,female,4,0.04%
339,Cyprus,Unemployed,male,4,0.04%
340,Poland,database specialist,male,4,0.04%
341,Estonia,Unemployed,male,4,0.04%
342,Spain,automatic data processing systems security specialist adp systems security,male,4,0.04%
343,Poland,database tester,female,4,0.04%
344,Italy,data modeling specialist,female,4,0.04%
345,Poland,database marketing analyst,male,4,0.04%
346,Spain,automatic data processing planner,male,4,0.04%
347,Estonia,Unemployed,female,4,0.04%
348,Great Britain,customer data technician,female,4,0.04%
349,France,geographic information systems data specialist gis data specialist,female,4,0.04%
350,Poland,database software technician,male,4,0.04%
351,Italy,data warehouse architect,female,4,0.04%
352,Spain,data processing systems project planner,male,4,0.04%
353,Romania,data architect,male,4,0.04%
354,Spain,database security administrator,male,4,0.04%
355,Germany,geographic information systems data manager gis data manager,female,4,0.04%
356,Romania,data administrator,female,4,0.04%
357,Germany,data processing systems analyst,female,4,0.04%
358,Spain,database security administrator,female,4,0.04%
359,Italy,database manager,male,4,0.04%
360,Netherlands,electronic data processing auditor edp auditor,male,4,0.04%
361,Italy,database manager,female,4,0.04%
362,Poland,computer or data processing systems consultant,male,4,0.04%
363,Romania,computer or data processing systems consultant,male,4,0.04%
364,Germany,data systems manager,female,4,0.04%
365,Poland,database security expert,male,4,0.04%
366,Poland,database security administrator,female,4,0.04%
367,Netherlands,engineer system electronic data processing engineer system edp,female,4,0.04%
368,Great Britain,database development and administration project manager,male,4,0.04%
369,Spain,data modeling specialist,male,4,0.04%
370,Poland,electronic data interchange system developer edi system developer,male,4,0.04%
371,Spain,geographic information systems data administrator gis data administrator,female,4,0.04%
372,Spain,geographic information systems data manager gis data manager,female,4,0.04%
373,Germany,internet database specialist,female,4,0.04%
374,Spain,data base design analyst,female,4,0.04%
375,Great Britain,data processing systems analyst,female,4,0.04%
376,Poland,sql database administrator,female,4,0.04%
377,France,database design analyst,male,4,0.04%
378,France,database design analyst,female,4,0.04%
379,Spain,data communications software consultant,male,4,0.04%
380,France,database coordinator,female,4,0.04%
381,Spain,data management associate,female,4,0.04%
382,France,data security analyst,male,4,0.04%
383,Great Britain,data security administrator,male,4,0.04%
384,France,data management associate,female,4,0.04%
385,Italy,database administration associate,male,4,0.04%
386,Germany,database architect,female,4,0.04%
387,France,database administration associate,female,4,0.04%
388,Poland,data architect,female,4,0.04%
389,France,data warehouse architect,female,4,0.04%
390,Hungary,sql database administrator,female,4,0.04%
391,Italy,automatic data processing planner,female,4,0.04%
392,Portugal,data processing consultant,male,4,0.04%
393,Poland,automatic data processing planner,female,4,0.04%
394,Germany,data processing systems analyst,male,4,0.04%
395,France,electronic data interchange system developer edi system developer,female,4,0.04%
396,Spain,databases software consultant,male,4,0.04%
397,France,data processing auditor,male,4,0.04%
398,Italy,data processing auditor,female,4,0.04%
399,France,databases computer consultant,female,4,0.04%
400,Spain,computer or data processing systems consultant,female,4,0.04%
401,France,database tester,female,4,0.04%
402,France,database software technician,female,4,0.04%
403,Italy,automatic data processing systems security specialist adp systems security,female,4,0.04%
404,France,database security expert,male,4,0.04%
405,France,data management information technology specialist,male,4,0.04%
406,Portugal,data security analyst,male,4,0.04%
407,Spain,oracle database administrator oracle dba,male,4,0.04%
408,Great Britain,database administration manager,female,4,0.04%
409,France,data scientist,female,4,0.04%
410,Spain,engineer system electronic data processing engineer system edp,female,4,0.04%
411,Italy,automatic data processing systems security specialist adp systems security,male,4,0.04%
412,Germany,automatic data processing customer liaison adp customer liaison,male,4,0.04%
413,Spain,database coordinator,male,4,0.04%
414,Netherlands,database coordinator,male,4,0.04%
415,Poland,data processing auditor,female,4,0.04%
416,Romania,head of information systems and data processing,male,4,0.04%
417,Spain,database design analyst,female,4,0.04%
418,Germany,database software technician,female,4,0.04%
419,Netherlands,data security analyst,male,4,0.04%
420,France,data systems manager,male,4,0.04%
421,Italy,electronic data processing auditor edp auditor,female,4,0.04%
422,Poland,database consultant,male,4,0.04%
423,Great Britain,databases computer consultant,male,4,0.04%
424,Romania,database management system specialist dbms specialist,male,4,0.04%
425,Germany,data coordinator,female,4,0.04%
426,Great Britain,database security expert,female,4,0.04%
427,Netherlands,data management associate,male,4,0.04%
428,Great Britain,data miner,female,4,0.04%
429,Poland,data processing manager,male,4,0.04%
430,Italy,geographic information systems data manager gis data manager,male,4,0.04%
431,Spain,data warehouse architect,male,4,0.04%
432,Bulgaria,internet database specialist,male,4,0.04%
433,Germany,data warehouse architect,female,4,0.04%
434,Italy,internet database specialist,female,4,0.04%
435,Poland,database administration associate,male,4,0.04%
436,Great Britain,director of data operations,male,4,0.04%
437,Spain,data systems manager,female,4,0.04%
438,France,data operations director,male,4,0.04%
439,Spain,database administration associate,male,4,0.04%
440,Italy,data communications analyst,female,4,0.04%
441,Spain,data security analyst,male,4,0.04%
442,Italy,database security expert,female,4,0.04%
443,Germany,data base design analyst,female,4,0.04%
444,Italy,electronic data processing auditor edp auditor,male,4,0.04%
445,Italy,head of information systems and data processing,male,4,0.04%
446,Poland,data processing systems analyst,male,4,0.04%
447,Spain,data processing systems project planner,female,4,0.04%
448,Poland,data management information technology specialist,male,4,0.04%
449,Poland,database manager,female,4,0.04%
450,Great Britain,database management system specialist dbms specialist,female,4,0.04%
451,Great Britain,database management system specialist dbms specialist,male,4,0.04%
452,Great Britain,geographic information systems data administrator gis data administrator,male,4,0.04%
453,France,automatic data processing planner adp planner,female,4,0.04%
454,Romania,data officer,male,4,0.04%
455,Great Britain,geographic information systems data administrator gis data administrator,female,4,0.04%
456,Italy,geographic information systems database administrator gis database administrator,female,4,0.04%
457,Germany,automatic data processing systems security specialist adp systems security,female,4,0.04%
458,Italy,database software technician,female,4,0.04%
459,Spain,database management system specialist dbms specialist,female,4,0.04%
460,Germany,data processing consultant,female,4,0.04%
461,France,data miner,female,4,0.04%
462,Italy,data management associate,male,4,0.04%
463,Germany,geographic information systems data specialist gis data specialist,female,4,0.04%
464,Italy,data base design analyst,female,4,0.04%
465,Germany,database administration associate,female,4,0.04%
466,Germany,data administrator,female,4,0.04%
467,Great Britain,internet database specialist,female,4,0.04%
468,Poland,database designer,male,4,0.04%
469,Greece,database coordinator,male,4,0.04%
470,Great Britain,automatic data processing planner,female,4,0.04%
471,Poland,database design analyst,male,4,0.04%
472,Sweden,automatic data processing planner,male,3,0.03%
473,Italy,data security analyst,female,3,0.03%
474,Spain,oracle database administrator oracle dba,female,3,0.03%
475,Italy,automatic data processing planner,male,3,0.03%
476,Italy,automatic data processing planner adp planner,female,3,0.03%
477,Luxembourg,Unemployed,male,3,0.03%
478,France,data scientist,male,3,0.03%
479,France,data modeling specialist,female,3,0.03%
480,Poland,data communications software consultant,female,3,0.03%
481,Poland,data security administrator,female,3,0.03%
482,Italy,data compiler,male,3,0.03%
483,Poland,data processing manager,female,3,0.03%
484,Italy,data systems manager,female,3,0.03%
485,Germany,database designer,male,3,0.03%
486,Germany,database development and administration project manager,female,3,0.03%
487,Italy,data security analyst,male,3,0.03%
488,Italy,data processing consultant,male,3,0.03%
489,Great Britain,automatic data processing planner adp planner,male,3,0.03%
490,Italy,data processing systems project planner,female,3,0.03%
491,France,data security analyst,female,3,0.03%
492,Italy,data processing manager,female,3,0.03%
493,Italy,data entry clerk,male,3,0.03%
494,Germany,gps field data collector global positioning system field data collector,male,3,0.03%
495,Czechia,database engineer,male,3,0.03%
496,Poland,data processing consultant,female,3,0.03%
497,Czechia,internet database specialist,male,3,0.03%
498,Poland,database coordinator,male,3,0.03%
499,France,data processing auditor,female,3,0.03%
500,Poland,database architect,male,3,0.03%
501,Germany,voice and data technician,male,3,0.03%
502,Italy,computer or data processing systems consultant,male,3,0.03%
503,Italy,data capture clerk,male,3,0.03%
504,Denmark,data communications software consultant,male,3,0.03%
505,Poland,database coordinator,female,3,0.03%
506,Poland,data processing auditor,male,3,0.03%
507,Poland,database software technician,female,3,0.03%
508,Poland,databases computer consultant,male,3,0.03%
509,France,data entry representative,male,3,0.03%
510,Italy,data miner,female,3,0.03%
511,Poland,data modeling specialist,female,3,0.03%
512,Sweden,database development and administration project manager,female,3,0.03%
513,Poland,database modeler,male,3,0.03%
514,Poland,database engineer,male,3,0.03%
515,Great Britain,automatic data processing customer liaison adp customer liaison,female,3,0.03%
516,Poland,data management information technology specialist,female,3,0.03%
517,France,data entry clerk,male,3,0.03%
518,Italy,data coder operator,male,3,0.03%
519,Poland,data systems manager,female,3,0.03%
520,Poland,flight data technician,male,3,0.03%
521,Poland,data communications software consultant,male,3,0.03%
522,Poland,data systems manager,male,3,0.03%
523,Italy,data communications software consultant,female,3,0.03%
524,Czechia,head of information systems and data processing,male,3,0.03%
525,Poland,geographic information systems data manager gis data manager,male,3,0.03%
526,Poland,geographic information systems data manager gis data manager,female,3,0.03%
527,Poland,data warehouse architect,male,3,0.03%
528,Poland,geographic information systems data administrator gis data administrator,female,3,0.03%
529,Czechia,database security administrator,female,3,0.03%
530,France,data processing systems analyst,female,3,0.03%
531,Poland,automatic data processing planner adp planner,female,3,0.03%
532,Poland,automatic data processing planner adp planner,male,3,0.03%
533,Italy,data entry supervisor,male,3,0.03%
534,Poland,electronic data processing auditor edp auditor,male,3,0.03%
535,Poland,electronic data processing auditor edp auditor,female,3,0.03%
536,Finland,database marketing analyst,male,3,0.03%
537,Spain,sql database administrator,female,3,0.03%
538,Poland,databases software consultant,male,3,0.03%
539,Great Britain,automatic data processing planner adp planner,female,3,0.03%
540,Poland,data base design analyst,female,3,0.03%
541,Romania,data officer,female,3,0.03%
542,Spain,database administration associate,female,3,0.03%
543,Great Britain,sql database administrator,female,3,0.03%
544,Great Britain,database consultant,female,3,0.03%
545,Great Britain,data processing manager,male,3,0.03%
546,Greece,automatic data processing systems security specialist adp systems security,male,3,0.03%
547,Italy,engineer system electronic data processing engineer system edp,female,3,0.03%
548,Greece,data architect,male,3,0.03%
549,Romania,electronic data processing auditor edp auditor,male,3,0.03%
550,Bulgaria,engineer system electronic data processing engineer system edp,female,3,0.03%
551,Romania,director of data operations,male,3,0.03%
552,Bulgaria,geographic information systems data specialist gis data specialist,female,3,0.03%
553,Greece,data management information technology specialist,male,3,0.03%
554,Romania,databases computer consultant,female,3,0.03%
555,Romania,database tester,male,3,0.03%
556,Romania,database tester,female,3,0.03%
557,Great Britain,data management associate,male,3,0.03%
558,Romania,data miner,male,3,0.03%
559,Great Britain,data input clerk,female,3,0.03%
560,France,data collection technician,female,3,0.03%
561,Germany,data center operator,male,3,0.03%
562,Great Britain,database administration manager,male,3,0.03%
563,Italy,databases computer consultant,male,3,0.03%
564,Romania,database analyst,male,3,0.03%
565,Italy,database tester,female,3,0.03%
566,Spain,data miner,female,3,0.03%
567,Romania,data security analyst,male,3,0.03%
568,Romania,data security administrator,male,3,0.03%
569,Germany,clinical data management associate director,male,3,0.03%
570,Germany,clinical data coordinator,male,3,0.03%
571,Spain,data architect,female,3,0.03%
572,Spain,automatic data processing planner adp planner,female,3,0.03%
573,Italy,geographic information systems data administrator gis data administrator,male,3,0.03%
574,Great Britain,database design analyst,female,3,0.03%
575,Great Britain,data miner,male,3,0.03%
576,Germany,data operations director,male,3,0.03%
577,Great Britain,data processing consultant,female,3,0.03%
578,Spain,automatic data processing systems security specialist adp systems security,female,3,0.03%
579,Great Britain,database engineer,female,3,0.03%
580,Spain,data processing clerk,male,3,0.03%
581,Belgium,health data analyst,male,3,0.03%
582,Spain,data processing consultant,female,3,0.03%
583,Spain,data processing consultant,male,3,0.03%
584,Great Britain,database marketing analyst,female,3,0.03%
585,France,data administrator,female,3,0.03%
586,Great Britain,data operations director,male,3,0.03%
587,Spain,data processing equipment repairer,male,3,0.03%
588,Spain,data processing manager,female,3,0.03%
589,Netherlands,automatic data processing planner,male,3,0.03%
590,Germany,data processing manager,female,3,0.03%
591,Great Britain,database security administrator,female,3,0.03%
592,Great Britain,database security administrator,male,3,0.03%
593,Great Britain,database software technician,female,3,0.03%
594,Great Britain,database software technician,male,3,0.03%
595,France,data administrator,male,3,0.03%
596,Great Britain,data officer,female,3,0.03%
597,Great Britain,electronic data interchange system developer edi system developer,female,3,0.03%
598,Great Britain,electronic data processing auditor edp auditor,male,3,0.03%
