Country,Job Title,Gender,Quantity,Percentage
Spain,weight in motion field data collection technician,male,2,0.02%
Spain,weight in motion field data collection technician,female,2,0.02%
Spain,micro computer data processor,female,2,0.02%
Spain,flight test data acquisition technician,male,2,0.02%
Spain,geographic information systems data specialist gis data specialist,female,2,0.02%
Spain,internet database specialist,female,2,0.02%
Spain,health data analyst,male,2,0.02%
Spain,geographic information systems database administrator gis database administrator,female,2,0.02%
Spain,database specialist,female,2,0.02%
Spain,databases computer consultant,female,2,0.02%
Spain,scientific database curator,male,2,0.02%
Spain,database technician,male,1,0.01%
Spain,field traffic data technician,male,1,0.01%
Spain,flight data technician,male,1,0.01%
Spain,flight test data acquisition technician,female,1,0.01%
Spain,internet database specialist,male,1,0.01%
Spain,lidar data analyst,female,1,0.01%
Spain,lidar data analyst,male,1,0.01%
Spain,maintenance data analyst,male,1,0.01%
Spain,marketing database analyst,male,1,0.01%
Spain,medical data analyst,male,1,0.01%
Spain,micro computer data processor,male,1,0.01%
Spain,reference data expert,female,1,0.01%
Spain,reference data expert,male,1,0.01%
Spain,scada operator supervisory control and data acquisition operator,male,1,0.01%
Spain,scada technician supervisory control and data acquisition technician,female,1,0.01%
Spain,survey data technician,female,1,0.01%
Spain,voice and data technician,female,1,0.01%
Spain,voice and data technician,male,1,0.01%
Spain,engineer system electronic data processing engineer system edp,male,1,0.01%
Spain,database modeler,male,1,0.01%
Spain,database modeler,female,1,0.01%
Spain,data entry specialist,female,1,0.01%
Spain,data entry supervisor,male,1,0.01%
Spain,data examination clerk,male,1,0.01%
Spain,data input clerk,male,1,0.01%
Spain,data keyer,male,1,0.01%
Spain,data management manager,male,1,0.01%
Spain,data modeler,male,1,0.01%
Spain,data officer,female,1,0.01%
Spain,data officer,male,1,0.01%
Spain,data processing auditor,female,1,0.01%
Spain,data processing equipment repairer,female,1,0.01%
Spain,data processing mechanic,male,1,0.01%
Spain,data processing supervisor,female,1,0.01%
Spain,data processing supervisor,male,1,0.01%
Spain,data reviewer,female,1,0.01%
Spain,data typist,female,1,0.01%
Spain,database administration manager,female,1,0.01%
Spain,database consultant,female,1,0.01%
Spain,database developer,female,1,0.01%
Spain,database development project manager,female,1,0.01%
Spain,database development project manager,male,1,0.01%
Spain,data entry representative,female,1,0.01%
Spain,data entry operator,male,1,0.01%
Spain,data entry machine operator,male,1,0.01%
Spain,data entry associate,female,1,0.01%
Spain,analytical data miner,male,1,0.01%
Spain,business database analyst,female,1,0.01%
Spain,business database analyst,male,1,0.01%
Spain,clinical data abstractor,male,1,0.01%
Spain,clinical data associate,female,1,0.01%
Spain,clinical data associate,male,1,0.01%
Spain,clinical data management manager cdm manager,female,1,0.01%
Spain,clinical data specialist,female,1,0.01%
Spain,crime data specialist,male,1,0.01%
Spain,data analysis assistant,male,1,0.01%
Spain,data analyst,female,1,0.01%
Spain,data collector,female,1,0.01%
Spain,data communications technician,female,1,0.01%
Spain,data communications technician,male,1,0.01%
Spain,data control clerk supervisor,male,1,0.01%
Spain,data conversion operator,female,1,0.01%
